	id	latitude	longitude	address	categories
0	4da44d11b1c93704a9850ca2	43.475404	-80.581942	521 Beaver Creek Rd, Waterloo ON N2V 2L3	11010
1	4f2da960e4b007725ab2a170	43.476846	-80.582816	Beaver Creek Rd, Waterloo ON	16046
2	7cf2844b2dfd464c04664712	43.475257	-80.581682	515 Beaver Creek Rd, Waterloo ON N2V 2L3	17117
3	56689e10498e064adedd0489	43.474329	-80.571255	500 Fischer-Hallman Rd N (at Laurelwood Dr), Waterloo ON N2L 0B1	13035
4	e7ae0f8f36c849dac6f7ba0d	43.474374	-80.573407	184 Silverwood Pl, Waterloo ON N2T 2R9	17081
5	4379dbd1a7db4a0e01916d8d	43.473173	-80.583114	532 Brookmill Cres, Waterloo ON N2V 2M1	11070
6	53d822e2498eb7cff0417a46	43.472317	-80.585985	530 Laurelwood Dr, Waterloo ON	16032
7	f617e8a5843d4625b685531b	43.474227	-80.573147	192 Silverwood Pl, Waterloo ON N2T 2R9	11043
8	6e85b69e52d94cb0ded29c73	43.472276	-80.582435	501 Beaverwood St, Waterloo ON N2V 2M1	11163
9	4c23bee7c11dc9b68b572424	43.47204	-80.587286	525 Laurelwood Dr, Waterloo ON N2V 2N1	12057
10	4b8fb108f964a520565d33e3	43.471801	-80.586123	Laurelwood Dr (Laurelwood Drive + Brookmill Crescent), Waterloo ON	16032
11	51bdedfc498e7a734095e8c9	43.483911	-80.577504	Waterloo ON	16008
12	fa25f06361364eea90a1f95b	43.472118	-80.583664	501 Beaverwood St, Waterloo ON N2V 2M1	11169
13	4f11d96be4b072565d20a24d	43.474483	-80.588951	525 Beaver Creek Rd, Waterloo ON N2V 2L3	16030
14	bd9ac4cda3034e31e338146c	43.476631	-80.570562	250 Laurelwood Dr, Waterloo ON N2J 0E2	12095
15	4abd83f3010b44902034c32d	43.474226	-80.571142	500 Fischer-Hallman Rd N, Waterloo ON N2L 0B1	18021
16	fca5d48488194f007f289eb9	43.469983	-80.582336	501 Havendale Pl, Waterloo ON N2T 2T3	11027
17	254e24f04cc5480343129db8	43.469458	-80.577858	216 Beaver Creek Rd, Waterloo ON N2T 2R8	11027
18	029ee620bbb54e296ef5f24e	43.472513	-80.587	525 Laurelwood Dr, Waterloo ON N2V 2N1	
19	19712be2b6a24c3ef078c178	43.47009	-80.583754	461 Aspenwood Pl, Waterloo ON N2T 2V5	11133
20	b05a63b1dfc942925debacef	43.469503	-80.582713	408 Woodrow Dr, Waterloo ON N2T 2V7	11141
21	b76d298d36874f7821c98abc	43.469985	-80.584341	436 Woodrow Dr, Waterloo ON N2T 2V6	11148
22	8c83a02c18454f2ee8cb785d	43.469112	-80.582688	408 Woodrow Dr, Waterloo ON N2T 2V7	11141
23	7814608739a648abbc64ff0e	43.46869	-80.581025	533 Willow Wood Dr, Waterloo ON N2T 2T5	17082
24	318b53083c214e5d226a12e6	43.475047	-80.590267	733 Cedar Bend Dr, Waterloo ON N2V 2R2	11053
25	4c8971d91aa54fd5c45d3453	43.472594	-80.589393	545 Laurelwood Dr, Waterloo ON N2V 2R4	11086
26	c6424cfb6db445dd613dc302	43.472594	-80.589393	645 Laurelwood Dr, Waterloo ON N2V 2W9	13064
27	6786d8cbd82a4730bf88694c	43.467905	-80.576964	297 Edenwood Pl, Waterloo ON N2T 2R5	17030
28	4da44d11b1c93704a9850ca2	43.475404	-80.581942	521 Beaver Creek Rd, Waterloo ON N2V 2L3	11010
29	4f2da960e4b007725ab2a170	43.476846	-80.582816	Beaver Creek Rd, Waterloo ON	16046
30	7cf2844b2dfd464c04664712	43.475257	-80.581682	515 Beaver Creek Rd, Waterloo ON N2V 2L3	17117
31	56689e10498e064adedd0489	43.474329	-80.571255	500 Fischer-Hallman Rd N (at Laurelwood Dr), Waterloo ON N2L 0B1	13035
32	e7ae0f8f36c849dac6f7ba0d	43.474374	-80.573407	184 Silverwood Pl, Waterloo ON N2T 2R9	17081
33	4379dbd1a7db4a0e01916d8d	43.473173	-80.583114	532 Brookmill Cres, Waterloo ON N2V 2M1	11070
34	53d822e2498eb7cff0417a46	43.472317	-80.585985	530 Laurelwood Dr, Waterloo ON	16032
35	f617e8a5843d4625b685531b	43.474227	-80.573147	192 Silverwood Pl, Waterloo ON N2T 2R9	11043
36	6e85b69e52d94cb0ded29c73	43.472276	-80.582435	501 Beaverwood St, Waterloo ON N2V 2M1	11163
37	4c23bee7c11dc9b68b572424	43.47204	-80.587286	525 Laurelwood Dr, Waterloo ON N2V 2N1	12057
38	4b8fb108f964a520565d33e3	43.471801	-80.586123	Laurelwood Dr (Laurelwood Drive + Brookmill Crescent), Waterloo ON	16032
39	51bdedfc498e7a734095e8c9	43.483911	-80.577504	Waterloo ON	16008
40	fa25f06361364eea90a1f95b	43.472118	-80.583664	501 Beaverwood St, Waterloo ON N2V 2M1	11169
41	4f11d96be4b072565d20a24d	43.474483	-80.588951	525 Beaver Creek Rd, Waterloo ON N2V 2L3	16030
42	bd9ac4cda3034e31e338146c	43.476631	-80.570562	250 Laurelwood Dr, Waterloo ON N2J 0E2	12095
43	4abd83f3010b44902034c32d	43.474226	-80.571142	500 Fischer-Hallman Rd N, Waterloo ON N2L 0B1	18021
44	fca5d48488194f007f289eb9	43.469983	-80.582336	501 Havendale Pl, Waterloo ON N2T 2T3	11027
45	254e24f04cc5480343129db8	43.469458	-80.577858	216 Beaver Creek Rd, Waterloo ON N2T 2R8	11027
46	029ee620bbb54e296ef5f24e	43.472513	-80.587	525 Laurelwood Dr, Waterloo ON N2V 2N1	
47	19712be2b6a24c3ef078c178	43.47009	-80.583754	461 Aspenwood Pl, Waterloo ON N2T 2V5	11133
48	b05a63b1dfc942925debacef	43.469503	-80.582713	408 Woodrow Dr, Waterloo ON N2T 2V7	11141
49	b76d298d36874f7821c98abc	43.469985	-80.584341	436 Woodrow Dr, Waterloo ON N2T 2V6	11148
50	8c83a02c18454f2ee8cb785d	43.469112	-80.582688	408 Woodrow Dr, Waterloo ON N2T 2V7	11141
51	7814608739a648abbc64ff0e	43.46869	-80.581025	533 Willow Wood Dr, Waterloo ON N2T 2T5	17082
52	318b53083c214e5d226a12e6	43.475047	-80.590267	733 Cedar Bend Dr, Waterloo ON N2V 2R2	11053
53	4c8971d91aa54fd5c45d3453	43.472594	-80.589393	545 Laurelwood Dr, Waterloo ON N2V 2R4	11086
54	c6424cfb6db445dd613dc302	43.472594	-80.589393	645 Laurelwood Dr, Waterloo ON N2V 2W9	13064
