	city	station_name	empty_slots	slots	free_bikes	ebikes	latitude	longitude	timestamp
0	Toronto	Queen St E / Woodward Ave	12	19	5	0	43.665269	-79.319796	2023-06-05T15:38:08.527000Z
1	Toronto	Primrose Ave / Davenport Rd	12	15	3	0	43.67142	-79.445947	2023-06-05T15:38:08.527000Z
2	Toronto	Queen St. E / Rhodes Ave.	13	23	10	0	43.666224	-79.317693	2023-06-05T15:38:08.528000Z
3	Toronto	Bond St / Queen St E	8	25	16	0	43.653236	-79.376716	2023-06-05T15:38:08.533000Z
4	Toronto	Church St / Alexander St	12	15	2	0	43.663722	-79.380288	2023-06-05T15:38:08.534000Z
5	Toronto	University Ave / Gerrard St W (East Side)	2	25	22	1	43.657763	-79.389165	2023-06-05T15:38:08.534000Z
6	Toronto	Edward St / Yonge St	0	23	23	1	43.656729	-79.382736	2023-06-05T15:38:08.536000Z
7	Toronto	Euclid Ave / Bloor St W	19	19	0	0	43.664467	-79.414783	2023-06-05T15:38:08.536000Z
8	Toronto	Yonge St / Aylmer Ave	8	15	7	0	43.675492	-79.388858	2023-06-05T15:38:08.537000Z
9	Toronto	Davenport Rd / Avenue Rd	5	11	6	0	43.674991	-79.396273	2023-06-05T15:38:08.538000Z
10	Toronto	Yonge St / Yorkville Ave	15	17	1	0	43.671944	-79.387778	2023-06-05T15:38:08.538000Z
11	Toronto	Dundas St E / Broadview Ave	19	19	0	0	43.662365	-79.351104	2023-06-05T15:38:08.540000Z
12	Toronto	Front St W / Yonge St (Hockey Hall of Fame)	24	47	23	1	43.646144	-79.377962	2023-06-05T15:38:08.541000Z
13	Toronto	Gerrard St E / River St	2	11	8	0	43.663993	-79.358534	2023-06-05T15:38:08.542000Z
14	Toronto	Jarvis St / Dundas St E	15	27	12	0	43.657266	-79.374756	2023-06-05T15:38:08.542000Z
15	Toronto	Logan Av / Gerrard St E	14	15	1	0	43.6672144	-79.3452697	2023-06-05T15:38:08.558000Z
